op_in_bytes,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
236,157396992,157118464,237678592,154390659,102912000,25890816
237,157974528,158093312,238583808,155500675,103682048,26116096
238,158195712,158416896,239161344,155848835,103919616,26206208
239,158212096,158416896,239161344,156184707,104185856,26275840
240,159567872,159711232,241061888,156319875,104185856,26275840
241,159879168,160018432,241516544,157474947,104951808,26460160
242,160329728,160583680,242302976,157999235,105316352,26566656
243,160329728,160583680,242421760,158261379,105607168,26632192
244,161333248,160985088,242659328,158302339,105607168,26632192
245,161865728,162263040,244514816,159314051,106340352,26836992
246,162422784,162725888,245542912,159793283,106741760,26894336
247,162422784,162725888,245669888,160276611,106950656,26968064
248,162443264,162762752,245694464,160288899,106979328,26968064
249,164171776,164245504,248094720,161218691,107302912,27062272
250,164831232,164737024,248709120,161976451,107978752,27299840
251,164847616,164864000,249069568,162533507,108355584,27357184
252,164847616,164900864,249069568,162533507,108392448,27394048
253,166248448,166207488,250941440,162640003,108417024,27394048
254,166961152,166768640,251760640,164044931,109445120,27623424
255,167075840,167014400,252280832,164556931,109711360,27713536
256,167088128,167014400,252334080,164704387,109789184,27729920
257,168247296,168112128,253878272,164704387,109801472,27729920
258,168628224,168505344,254681088,166129795,110555136,27914240
259,169046016,169144320,255451136,166568067,110960640,27992064
260,169123840,169144320,255655936,166797443,111136768,28033024
261,170209280,169807872,256536576,166858883,111140864,28033024
262,170569728,170848256,257957888,167731331,111603712,28143616
263,170901504,171134976,258359296,168554627,112185344,28323840
264,171003904,171286528,258666496,169099395,112680960,28454912
265,171384832,171298816,258732032,169160835,112766976,28491776
266,172408832,172654592,260521984,169373827,112799744,28504064
267,173117440,173314048,261656576,170631299,113745920,28696576
268,173129728,173350912,261664768,170856579,114118656,28778496
269,173563904,173637632,261943296,171028611,114257920,28811264
270,174579712,174911488,263626752,171290755,114257920,28823552
271,175161344,175341568,264327168,172372099,115183616,29069312
272,175239168,175513600,264593408,172793987,115404800,29106176
273,175259648,175521792,264650752,173207683,115728384,29184000
274,176459776,176939008,266317824,173301891,115728384,29184000
275,176848896,177049600,267100160,174309507,116604928,29327360
276,177139712,177352704,267558912,175083651,116973568,29470720
277,177152000,177352704,267616256,175407235,117137408,29573120
278,178581504,178688000,269492224,175452291,117137408,29589504
279,179171328,179126272,270168064,176574595,117764096,29638656
280,179314688,179417088,270798848,177090691,118173696,29773824
281,179322880,179417088,270872576,177373315,118415360,29843456
282,180183040,180314112,272257024,177426563,118435840,29847552
283,180183040,180314112,272257024,178421891,118951936,29868032
284,180183040,180314112,272257024,179024003,119394304,30035968
285,180183040,180314112,272257024,179441795,119672832,30146560
286,180183040,180314112,272257024,179486851,119689216,30150656
287,180183040,180314112,272257024,180285571,120180736,30228480
288,180183040,180314112,272257024,180285571,120328192,30326784
289,180183040,180314112,272257024,180285571,120328192,30326784
290,180183040,180314112,272257024,180285571,120328192,30326784
291,180183040,180314112,272257024,180285571,120328192,30326784
292,180183040,180314112,272257024,180285571,120328192,30326784
293,180183040,180314112,272257024,180285571,120328192,30326784
294,180183040,180314112,272257024,180285571,120328192,30326784
295,180183040,180314112,272257024,180285571,120328192,30326784
296,180183040,180314112,272257024,180285571,120328192,30326784
297,180183040,180314112,272257024,180285571,120328192,30326784
298,180183040,180314112,272257024,180285571,120328192,30326784
299,180183040,180314112,272257024,180285571,120328192,30326784
300,180183040,180314112,272257024,180285571,120328192,30326784
301,180183040,180314112,272257024,180285571,120328192,30326784
302,180183040,180314112,272257024,180285571,120328192,30326784
303,180183040,180314112,272257024,180285571,120328192,30326784
304,180183040,180314112,272257024,180285571,120328192,30326784
305,180183040,180314112,272257024,180285571,120328192,30326784
306,180183040,180314112,272257024,180285571,120328192,30326784
307,180183040,180314112,272257024,180285571,120328192,30326784
308,180183040,180314112,272257024,180285571,120328192,30326784
309,180183040,180314112,272257024,180285571,120328192,30326784
310,180183040,180314112,272257024,180285571,120328192,30326784
311,Null,180314112,Null,Null,Null,30326784
