op_out_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
311,310,1112848,0,0,0,1104918,0
312,310,1112848,0,0,0,1104918,0
313,310,1112848,0,0,0,1104918,0
314,310,1112848,0,0,0,1104918,0
315,310,1112848,0,0,0,1104918,0
316,310,1112848,0,0,0,1104918,0
317,310,1112848,0,0,0,1104918,0
318,310,1112848,0,0,0,1104918,0
319,310,1112848,0,0,0,1104918,0
320,310,1112848,0,0,0,1104918,0
321,310,1112848,0,0,0,1104918,0
322,310,1112848,0,0,0,1104918,0
323,310,1112848,0,0,0,1104918,0
324,310,1112848,0,0,0,1104918,0
325,310,1112848,0,0,0,1104918,0
326,310,1112848,0,0,0,1104918,0
327,310,1112848,0,0,0,1104918,0
328,310,1112848,0,0,0,1104918,0
329,310,1112848,0,0,0,1104918,0
330,310,1112848,0,0,0,1104918,0
331,310,1112848,0,0,0,1104918,0
332,310,1112848,0,0,0,1104918,0
333,310,1112848,0,0,0,1104918,0
334,310,1112848,0,0,0,1104918,0
