queue_transaction_latency_avg,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
239,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
240,1e-06,0.0,1e-06,1e-06,1e-06,0.0,1e-06
241,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
242,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
243,1e-06,0,1e-06,0.0,1e-06,0.0,1e-06
244,0.0,1e-06,1e-06,1e-06,1e-06,0.0,1e-06
245,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
246,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,1e-06
247,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
248,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
249,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
250,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
251,1.1e-05,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
252,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,0.0
253,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
254,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
255,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
256,1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06
257,1e-06,6.1e-05,1e-06,1e-06,1e-06,1e-06,1e-06
258,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06
259,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
260,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06
261,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
262,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
263,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
264,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
265,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
266,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
267,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1e-06
268,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
269,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
270,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06
271,1e-06,1e-06,1e-06,0.0,1e-06,1e-06,0
272,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06
273,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
274,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
275,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
276,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
277,1e-06,0,1e-06,1e-06,0.0,0.0,1e-06
278,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
279,1e-06,1e-06,1e-06,1e-06,1e-06,0,1e-06
280,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
281,1e-06,0,1e-06,1e-06,1e-06,0.0,1e-06
282,1e-06,0,1e-06,1e-06,0.0,1e-06,1e-06
283,1e-06,0,1e-06,0.0,1e-06,1e-06,1e-06
284,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
285,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
286,0.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
287,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
288,0.0,1e-06,1e-06,1e-06,0,1e-06,1e-06
289,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06
290,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06
291,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
292,0.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
293,1e-06,0.0,1e-06,1e-06,0,1e-06,1e-06
294,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
295,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
296,1e-06,1e-06,1e-06,1e-06,0.0,1e-06,0.0
297,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
298,0.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
299,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
300,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
301,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
302,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
303,0.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
304,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
305,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
306,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0
307,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
308,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
309,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,1e-06
310,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
311,1e-06,1e-06,1e-06,0.0,1e-06,1e-06,1e-06
312,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
313,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
314,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
315,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
316,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06
317,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
318,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
319,1e-06,1e-06,1e-06,0.0,1e-06,1e-06,1e-06
320,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
321,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
322,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1e-06
323,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
324,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1e-06
325,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06
326,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
327,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
328,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
