journal_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
213,0.0217,0.015118,0.019536,0.025401,0.008157,0.011184,0.017451
214,0.010594,0,0.010968,0.005886,0.011843,0.016598,0.011694
215,0.004183,0,0.003805,0.015825,0.008723,0.003252,0.003282
216,0.0115,0.013216,0.00365,0.004542,0.007639,0.011509,0.007809
217,0.012707,0.02186,0.012247,0.009379,0.024944,0.015648,0.010922
218,0.003142,0.008032,0,0.01325,0.012752,0.018333,0.006139
219,0.010705,0,0.006822,0.005379,0.005065,0.004102,0.02274
220,0,0.003786,0.003749,0.005105,0.005753,0.009038,0.017569
221,0.017746,0.01717,0.019437,0.003178,0.004335,0.009416,0.010098
222,0.017354,0.018207,0.021396,0.010672,0.017587,0.015497,0.010719
223,0.006857,0,0.010911,0.007915,0.013699,0.003988,0.012155
224,0.014123,0.019326,0.00565,0.006077,0.010093,0.015449,0.008282
225,0.022255,0.019797,0.008387,0.004362,0.005925,0.003114,0.0034
226,0.017314,0.019713,0.013865,0.013663,0.018318,0.010852,0.006488
227,0.011951,0.026054,0.018212,0.007112,0.006683,0.011627,0.006383
228,0.003777,0.012975,0.016238,0.003393,0,0.011644,0.008296
229,0.009181,0.005057,0.008874,0.005604,0.004767,0.005813,0.008674
230,0.0209,0.006775,0.008172,0.006661,0.009103,0.015923,0.009979
231,0.014343,0.011865,0.020779,0.01448,0.011937,0.011653,0.014832
232,0.01369,0.009297,0.00977,0.009943,0.007889,0,0.004355
233,0.007055,0.008491,0.004009,0.005403,0.005336,0.004409,0.008411
234,0,0.018829,0.009796,0.008963,0.006597,0.003689,0.003528
235,0.010111,0.010118,0.023232,0.008333,0.004241,0.010823,0.014656
236,0.004137,0.003765,0.004162,0.004915,0.003575,0.007837,0.015782
237,0.013772,0.014385,0.006324,0.003025,0.005047,0.015712,0.010476
238,0.021388,0.017321,0.014993,0.003823,0.003655,0.006299,0.009479
