loadavg,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
541,Null,Null,Null,791,791,738,785
542,Null,Null,Null,791,728,738,785
543,Null,Null,Null,791,728,738,738
544,Null,Null,Null,791,728,738,738
545,Null,Null,Null,728,728,738,738
546,Null,Null,Null,728,728,738,738
547,Null,Null,Null,728,669,738,695
548,Null,Null,Null,728,669,738,695
549,Null,Null,Null,728,669,695,695
550,Null,Null,Null,624,669,639,695
551,Null,Null,Null,624,669,639,695
552,Null,Null,Null,624,669,639,695
553,Null,Null,Null,624,624,639,639
554,Null,Null,Null,624,624,639,639
555,Null,Null,Null,574,574,639,639
556,Null,Null,Null,574,574,639,639
557,Null,Null,Null,574,574,639,639
558,Null,Null,Null,574,574,639,639
559,Null,Null,Null,574,574,639,639
560,Null,Null,Null,528,574,588,588
561,Null,Null,Null,528,574,541,588
562,Null,Null,Null,528,574,541,588
563,Null,Null,Null,528,528,541,541
564,Null,Null,Null,Null,Null,541,541
565,Null,Null,Null,Null,Null,541,541
566,Null,Null,Null,Null,Null,498,498
567,Null,Null,Null,Null,Null,498,498
568,Null,Null,Null,Null,Null,498,498
569,Null,Null,Null,Null,Null,498,498
570,Null,Null,Null,Null,Null,498,498
571,Null,Null,Null,Null,Null,498,458
572,Null,Null,Null,Null,Null,498,458
573,Null,Null,Null,Null,Null,498,458
574,Null,Null,Null,Null,Null,498,458
575,Null,Null,Null,Null,Null,498,421
576,Null,Null,Null,Null,Null,421,421
577,Null,Null,Null,Null,Null,421,421
578,Null,Null,Null,Null,Null,421,421
579,Null,Null,Null,Null,Null,421,421
580,Null,Null,Null,Null,Null,421,421
581,Null,Null,Null,Null,Null,421,388
582,Null,Null,Null,Null,Null,421,388
583,Null,Null,Null,Null,Null,421,388
584,Null,Null,Null,Null,Null,388,388
585,Null,Null,Null,Null,Null,388,356
586,Null,Null,Null,Null,Null,388,356
587,Null,Null,Null,Null,Null,388,356
