journal_wr_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
290,40129.0,40262.0,47228.0,39057.0,40960.0,39633.0,41131.0
291,41980.0,39944.0,40730.0,42836.0,41461.0,44203.0,38843.0
292,42199.0,40391.0,45830.0,43594.0,42137.0,39757.0,40222.0
293,41821.0,39424.0,44494.0,44268.0,0,43071.0,41084.0
294,38520.0,44938.0,40135.0,37721.0,39378.0,42509.0,39059.0
295,50112.0,60494.0,40541.0,41101.0,47452.0,42406.0,41782.0
296,42576.0,40037.0,55666.0,42596.0,38204.0,38432.0,40057.0
297,40910.0,43836.0,36864.0,44000.0,43538.0,37966.0,42788.0
298,49152.0,39509.0,48586.0,39436.0,36864.0,39545.0,47192.0
299,43597.0,38570.0,40287.0,43863.0,38887.0,41071.0,39773.0
300,39402.0,37514.0,38400.0,42166.0,41594.0,46443.0,41854.0
301,38981.0,41917.0,44342.0,41067.0,39628.0,42454.0,38467.0
302,40093.0,38777.0,41131.0,41769.0,42634.0,39247.0,39560.0
303,39810.0,41742.0,44539.0,39372.0,44890.0,46567.0,38237.0
304,40190.0,41472.0,39835.0,42633.0,39871.0,39012.0,48656.0
305,38362.0,38240.0,41611.0,41382.0,42331.0,39081.0,39504.0
306,40175.0,40555.0,41172.0,44086.0,42283.0,39498.0,0
307,40806.0,37514.0,43874.0,37814.0,40082.0,38433.0,40287.0
308,43901.0,42546.0,37683.0,42185.0,41860.0,40522.0,37771.0
309,44670.0,39686.0,39845.0,44707.0,40213.0,40220.0,47267.0
310,39818.0,43327.0,41626.0,38710.0,41545.0,44566.0,39175.0
311,45265.0,41846.0,46014.0,41405.0,40856.0,40960.0,40677.0
312,0,40164.0,43346.0,40152.0,40405.0,41037.0,43436.0
313,43359.0,39157.0,38666.0,40538.0,39802.0,41047.0,49041.0
314,42868.0,41757.0,37376.0,40212.0,41662.0,39253.0,43494.0
315,46188.0,41889.0,41375.0,41125.0,43189.0,38253.0,37324.0
316,41710.0,42546.0,0,46594.0,41451.0,41522.0,38429.0
317,39853.0,39273.0,44641.0,41963.0,38912.0,37946.0,40281.0
318,37666.0,45976.0,43401.0,40022.0,40712.0,39797.0,42296.0
319,48201.0,39686.0,40960.0,40748.0,42559.0,42172.0,40572.0
320,37978.0,38710.0,43820.0,37481.0,39796.0,43567.0,39175.0
321,40796.0,38395.0,47768.0,41246.0,37860.0,45130.0,46362.0
322,40022.0,42166.0,44398.0,40022.0,39209.0,42214.0,40896.0
323,42361.0,38420.0,39953.0,41117.0,38086.0,46250.0,43384.0
324,40364.0,42029.0,42166.0,39691.0,38710.0,40854.0,43524.0
325,39291.0,38559.0,39538.0,40892.0,0,40399.0,41852.0
326,42255.0,41066.0,50279.0,42384.0,40975.0,41427.0,41329.0
327,39355.0,42457.0,42626.0,43283.0,43194.0,44108.0,45502.0
328,47322.0,38180.0,39461.0,39828.0,38053.0,46507.0,44843.0
329,41954.0,42303.0,41163.0,37640.0,53573.0,38934.0,39555.0
330,41595.0,46694.0,44816.0,41152.0,0,50872.0,37949.0
331,38901.0,43659.0,44015.0,40250.0,0,40289.0,40022.0
332,40098.0,50082.0,39131.0,38119.0,38744.0,40647.0,41501.0
333,0,42804.0,40387.0,40417.0,39964.0,42065.0,44129.0
334,47837.0,38676.0,42023.0,39047.0,40162.0,47726.0,39061.0
335,38661.0,0,42377.0,42897.0,37781.0,45264.0,42861.0
