op_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
199,0.1291,0.129949,0.124644,0.116338,0.123338,0.122311
200,0.301948,0.169368,0.12673,0.000418,0.758937,0
201,1.898165,1.702233,1.864404,0.330908,0.211601,0.197887
202,0.101378,0.092671,0.102939,0.096994,0.072621,0.076167
203,0.162085,0.154937,0.124861,0.12527,0.158734,0.093272
204,0.169536,0.203266,0.186604,0.856243,0.376615,0.107865
205,0,0.333804,0.32513,0.677782,1.397371,0
206,0.174506,0.16315,0.244584,0.06447,0.063861,0.1173
207,0.146597,0.152967,0.095042,0.131429,0.117545,0.161988
208,0.263738,0.283422,0.208913,0.401916,0.354881,0.420098
209,1.098939,0,1.6568,1.685006,0,0
210,0.099402,0.160913,0.13835,0.081398,0.182293,0.049256
211,0.158911,0.176403,0.239586,0.119499,0.130544,0.11755
212,0.114043,0.107062,0.126383,0.259949,0.256465,0.231824
213,1.496591,0,1.478596,0.883236,0.552009,0.444467
214,0.3145,0.470189,0.326697,0.215757,0.201397,0.145249
215,0.078407,0.082174,0.077027,0.191982,0.093198,0.076646
216,0.15574,0.1227,0.119053,0.108037,0.124764,0.146153
217,1.271405,0.55429,0,0.202655,0,0.119601
218,0.131021,0.196887,0.814705,0.264017,0.837938,1.976567
219,0.153449,0.110975,0.075916,0.070983,0.078025,0.066892
220,0.143828,0.109839,0.135689,0.115811,0.128641,0.114114
221,0.454757,0.506805,0.244361,0.166824,0.167446,0.102526
222,1.604607,2.261288,1.944227,1.592643,0,1.236513
223,0.075086,0.136987,0.132825,0.087678,0.208468,0.072272
224,0.128662,0.113116,0.136069,0.162655,0.134147,0.207035
225,0.964283,0,0.095117,0.167518,0.138705,0.107829
226,1.56288,1.458599,0,1.20157,0,0
227,0.150032,0.097877,0.214818,0.244278,0.201822,0.537
228,0.123057,0.142778,0.105597,0.084042,0.06656,0.066256
229,0.287628,0.238543,0.192105,0.12163,0.142174,0.104152
230,1.56001,1.566686,1.38546,1.115077,1.081139,0
231,0.109879,0.089075,0.14435,0.351946,0.231506,3.109501
232,0.261072,0.084019,0.192987,0.064536,0.063755,0.068042
233,0.169826,0.174552,0.109504,0.135734,0.123868,0.163823
234,0,0.536961,0.528982,0.247002,0.234839,0.149609
235,0.121748,0.232537,0.147816,1.081451,0.989113,0
236,0.107547,0.10065,0.119524,0.054609,0.062791,0.06687
237,0.14436,0.134424,0.125404,0.250166,0.23711,0.247747
238,1.681313,0,0,0.112154,0.176239,0.131205
239,0.203437,0.16138,0.17077,0.614222,0,0
240,0.147343,0.157057,0.170915,0.074452,0.125239,0.137273
241,0.150814,0.114804,0.151385,0.124459,0.112689,0.10238
242,0,0,0.201765,0.151439,0.130732,0.094983
243,0.15654,0.459044,0.945619,1.511705,0,0
244,0.105162,0.081482,0.072987,0.106961,0.104848,0.102321
245,0.143307,0.11295,0.11852,0.140072,0.119371,0.166947
246,0,0,0.23784,0.177699,0.126924,0.108595
247,1.88434,2.207136,1.416971,1.798287,1.384116,0
248,0.173865,0.099515,0.142879,0.127133,0.382514,0.18225
249,0.103172,0.122095,0.134888,0.100377,0.067936,0.053409
250,0.773395,0.140004,0.096089,0.158091,0.123013,0.140062
251,0,2.116072,0,0.000405,0.240676,0.057121
252,0.120252,0.076814,0.233589,1.554743,1.579261,0
253,0.137701,0.133211,0.13212,0.070256,0.116772,0.102846
254,0.350564,0.154707,0.131304,0.134933,0.14584,0.180631
255,1.976825,0,1.859861,0.069691,0.196797,0.137768
256,0.114837,0.193341,0.134995,0.000361,2.359192,0
257,0.113341,0.11659,0.099713,0.192704,0.060889,0.351538
258,0.119048,0.133666,0.132803,0.139474,0.117814,0.107606
259,1.318235,0,0.137273,0.137947,0.159828,0.149492
260,0.134035,0.202592,0.29672,1.447118,0.835733,0
261,0.105132,0.088844,0.078516,0.076417,0.361611,0.280356
262,0.253929,0.215572,0.177536,0.080257,0.081216,0.051121
263,0.204467,0.130427,0.148738,0.11309,0.125241,0.122655
264,0.246064,2.097677,1.627737,0.779889,0.115973,0.119363
265,0.102722,0.16244,0.107757,0.432163,1.168896,2.28716
266,0.105682,0.109189,0.136306,0.070148,0.13383,0.082113
267,1.14516,0.175422,0.160648,0.212394,0.144557,0.116166
268,0.293698,0.524516,0.611972,0.165025,0.234217,0.167725
269,0.079958,0.084757,0.067948,0.300875,0,2.095977
270,0.123202,0.117931,0.1473,0.062074,0.188855,0.059354
271,0.187945,0.15162,0.108907,0.203662,0.208997,0.11471
272,1.316151,1.314741,1.108722,0.108127,0.124716,0.095312
273,0.149496,0.191993,0.094722,1.006042,0,0
274,0.210882,0.145019,0.128149,0.064672,0.155219,0.296284
275,0.182154,0.25552,0.136834,0.109557,0.092665,0.090222
276,1.74913,0,1.343637,0.110706,0.120661,0.105718
277,0.118026,0.188828,0.144884,1.021582,0,1.285795
278,0.141772,0.118166,0.121598,0.107782,0.372131,0.218617
279,0.117802,0.127343,0.13093,0.124358,0.08068,0.062821
280,1.308331,0,2.185346,0.145398,0.143089,0.111709
281,0.152885,0.145527,0.133402,1.134845,0.773533,0.711511
282,0,0,0,0.15032,0.173923,0.072927
283,0,0,0,0.134021,0.103037,0.059092
284,0,0,0,0.152672,0.13491,0.11527
285,0,0,0,1.671719,1.209172,0.759864
286,0,0,0,0.094651,0.319189,0.364602
287,0,0,0,0.018324,0.059199,0.044256
288,0,0,0,0,0,0
289,0,0,0,0,0,0
290,0,0,0,0,0,0
291,0,0,0,0,0,0
292,0,0,0,0,0,0
293,0,0,0,0,0,0
294,0,0,0,0,0,0
295,0,0,0,0,0,0
296,0,0,0,0,0,0
297,0,0,0,0,0,0
298,0,0,0,0,0,0
299,0,0,0,0,0,0
300,0,0,0,0,0,0
301,0,0,0,0,0,0
302,0,0,0,0,0,0
303,0,0,0,0,0,0
304,0,0,0,0,0,0
305,0,0,0,0,0,0
306,0,0,0,0,0,0
307,0,0,0,0,0,0
308,0,0,0,0,0,0
309,0,0,0,0,0,0
310,Null,0,Null,Null,Null,0
