commitcycle_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
382,0.269998,0.279886,0,0,0.260683,0,0
383,0,0,0.256735,0,0,0.275842,0
384,0,0,0,0,0,0,0
385,0,0,0,0.262365,0,0,0
386,0.365052,0.316007,0,0,0.292275,0,0.309933
387,0,0,0.305013,0,0,0,0
388,0,0,0,0,0,0.255054,0
389,0,0,0,0,0,0,0
390,0,0,0,0.277189,0,0,0.255372
391,0.312568,0.274742,0.284033,0,0.300202,0,0
392,0,0,0,0,0,0.300044,0
393,0,0,0,0,0,0,0
394,0,0,0,0.235734,0,0,0
395,0.226561,0.28137,0.196368,0,0.237116,0,0.320736
396,0,0,0,0,0,0,0
397,0,0,0,0,0,0.288594,0
398,0,0,0,0,0,0,0
399,0.254721,0.257313,0,0.269296,0,0,0.319453
400,0,0,0.223282,0,0.268725,0,0
401,0,0,0,0,0,0.244321,0
402,0,0,0,0,0,0,0
403,0,0,0,0.223757,0,0,0
404,0.274617,0.31367,0.232488,0,0.277588,0,0.317485
405,0,0,0,0,0,0,0
406,0,0,0,0,0,0.289668,0
407,0,0,0,0,0,0,0
408,0.305263,0.263106,0.27912,0.280115,0,0,0
409,0,0,0,0,0.290163,0,0.373204
410,0,0,0,0,0,0.293199,0
411,0,0,0,0,0,0,0
412,0.319139,0,0,0,0,0,0
413,0,0.4035,0.259192,0.223918,0,0,0.296463
414,0,0,0,0,0.264666,0,0
415,0,0,0,0,0,0.259406,0
416,0,0,0,0,0,0,0
417,0.316513,0.369243,0.345282,0.264493,0,0,0
418,0,0,0,0,0.226655,0,0.227074
419,0,0,0,0,0,0,0
420,0,0,0,0,0,0.296618,0
421,0.243155,0.311671,0.294166,0,0,0,0
422,0,0,0,0.311959,0,0,0.295704
423,0,0,0,0,0.271403,0,0
424,0,0,0,0,0,0.279068,0
425,0.220232,0,0,0,0,0,0
426,0,0.297392,0.273155,0.239224,0,0,0
427,0,0,0,0,0.312551,0,0.270397
428,0,0,0,0,0,0,0
429,0,0,0,0,0,0.308372,0
430,0.26765,0.260946,0.313574,0,0,0,0
431,0,0,0,0.23677,0,0,0
432,0,0,0,0,0.262369,0,0.34501
433,0,0,0,0,0,0.216464,0
434,0.227844,0.327593,0.266183,0,0,0,0
435,0,0,0,0.291586,0,0,0
436,0,0,0,0,0.248452,0,0.243522
437,0,0,0,0,0,0,0
438,0.251094,0.116616,0,0,0,0.210407,0
439,0,0,0.228282,0,0,0,0
440,0,0,0,0.217524,0,0,0
441,0,0,0,0,0.298974,0,0.282604
442,0,0,0,0,0,0.286876,0
443,0,0,0,0,0,0,0
444,0,0,0,0.258865,0,0,0
445,0,0,0,0,0,0,0.335468
446,0,0,0,0,0.237724,0,0
447,0,0,0,0,0,0.267604,0
448,0,0,0,0,0,0,0
449,0,0,0,0.253136,0,0,0
450,0.030313,0,0,0,0.298938,0,0.29389
451,0,0.027084,0,0,0,0.271876,0
452,0,0,0,0,0,0,0
453,0,0,0,0.216508,0,0,0
454,0,0,0,0,0,0,0.24719
455,0,0,0,0,0.284317,0,0
456,0,0,0,0,0,0.277672,0
457,0,0,0,0,0,0,0
458,0,0,0,0.294553,0,0,0
459,0,0,0,0,0.291155,0,0.306067
460,0,0,0,0,0,0,0
461,0,0,0,0,0,0.233082,0
462,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0.107074
464,0,0,0,0,0,0,0
465,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0
474,0,0,0,0,0,0.174053,0
475,0,0,0,0.050522,0,0,0
476,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0
481,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0
496,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0
503,0,0,0,0,0,0,0
504,0,0,0,0,0,0,0
505,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0
507,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0
509,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0
513,0,0,0,0,0,0,0
514,0,0,0,0,0,0,0
515,Null,Null,0,0,0,0,0
516,Null,Null,Null,0,0,0,0
517,Null,Null,Null,0,0,0,0
518,Null,Null,Null,0,0,0,0
519,Null,Null,Null,0,0,0,0
520,Null,Null,Null,0,0,0,0
521,Null,Null,Null,0,0,0,0
522,Null,Null,Null,0,0,0,0
523,Null,Null,Null,0,0,0,0
524,Null,Null,Null,0,0,0,0
525,Null,Null,Null,0,0,0,0
