op_w_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
340,0.01328,0,0.008466,0.021091,0.023553,0.015626,0.021914
341,0.012084,0.014183,0.02018,0,0,0.020828,0.015318
342,0.022369,0.015527,0.019082,0,0.020515,0.022267,0
343,0.019581,0,0.011119,0,0,0.022948,0
344,0.022817,0.01444,0.011195,0.008202,0,0.020985,0.019494
345,0.021641,0.022192,0.022293,0.009452,0.016926,0.019013,0.022455
346,0,0.009935,0.016046,0.015156,0,0.010362,0.007685
347,0,0.016017,0.025586,0.017843,0.025311,0.010459,0
348,0.021089,0.02013,0.020937,0.00858,0.011457,0.020596,0
349,0.016799,0,0.013967,0.010454,0,0.021305,0.018492
350,0.022377,0,0.023676,0,0.008099,0,0.016185
351,0.019667,0,0.008537,0,0.013537,0.026846,0.015682
352,0.018425,0.015066,0.022272,0.021473,0,0.014121,0.019839
353,0.02583,0.013905,0.023154,0.019827,0,0.02215,0.01904
354,0.015903,0.01889,0.009867,0,0.027642,0.022236,0.022892
355,0,0.020244,0.016108,0,0,0.023692,0.017627
356,0,0.019593,0.013871,0.019152,0,0.01738,0.020364
357,0.021869,0.018369,0.013221,0,0.008222,0.021686,0
358,0.022811,0.022184,0.024933,0.007383,0.018267,0.024999,0.013084
359,0,0,0.013482,0.014654,0,0,0.015579
360,0.021179,0,0.022348,0,0,0,0
361,0.023299,0.021786,0.017953,0,0.016544,0.018869,0.021691
362,0.018517,0.01982,0.022861,0.016192,0,0.018531,0.017507
363,0.025616,0.021389,0.02053,0,0.021273,0.021074,0.021085
364,0.024705,0.061353,0.02166,0.015415,0,0.011984,0.018036
365,0,0.028276,0.024956,0.023135,0,0,0.02613
366,0.019334,0.019115,0.024114,0,0.010088,0.008033,0
367,0.01074,0,0.012408,0,0,0.020699,0
368,0.028377,0,0.020945,0.008122,0.009559,0,0.007408
369,0.01311,0,0.023526,0,0.014097,0.024708,0.023306
370,0.027374,0,0.013605,0.017518,0.014231,0.00767,0.010687
371,0,0,0,0.013102,0,0.009658,0.011851
372,0.009658,0.01922,0,0.020174,0.017174,0,0.013351
373,0.031398,0,0,0.028473,0.019947,0.014327,0.011008
374,0.023562,0.021536,0.023014,0,0.012382,0.014845,0
375,0.021571,0.021284,0.01895,0.01936,0.022496,0.021662,0.01562
376,0.015842,0,0.022714,0.028629,0.01709,0.021752,0
377,0.016061,0,0.020644,0.022054,0.019401,0.020508,0
378,0,0,0.025169,0,0.009534,0.01232,0.009002
379,0.018727,0,0.01895,0.024885,0,0.018273,0.055828
380,0.021862,0,0.012613,0,0.010533,0.020937,0.021418
381,0,0.020439,0.021002,0,0,0.020683,0
382,0.023348,0.031015,0.027485,0.024,0.020902,0,0
383,0.016163,0.018168,0,0.019867,0.01906,0.024774,0
384,0.02249,0.021686,0.020729,0,0,0.02134,0.013874
385,0.01873,0.027878,0.024656,0,0.0175,0.018625,0
386,0,0.020163,0.019567,0.027731,0.027271,0.012595,0.012397
387,0.012013,0,0.022841,0.017568,0,0.008953,0.023569
388,0,0,0.02706,0,0,0.021497,0.012014
389,0.023614,0.016524,0.022797,0,0.020516,0.023508,0.011369
390,0.022118,0,0.024563,0,0.018541,0.022248,0.023312
391,0.010879,0.020345,0,0.020374,0.020491,0,0.018965
392,0.019517,0.021446,0.021182,0.025005,0.009602,0.024224,0.014813
393,0.015213,0.021779,0.02191,0,0,0.019932,0.017962
394,0.021737,0,0.015318,0,0.024141,0.021101,0
395,0.008072,0.012898,0.020558,0,0,0,0.020717
396,0.014149,0.022108,0,0,0.009698,0.024321,0.01317
397,0.021482,0.016706,0.020353,0,0,0.01801,0.024638
398,0.017683,0,0.022585,0,0,0.024459,0.028475
399,0.018954,0.024265,0.022444,0.020053,0.029448,0.023855,0.02335
400,0,0.03884,0.01666,0.015225,0,0.013315,0.01383
401,0.027562,0.01844,0.02159,0,0,0.019361,0
402,0.02283,0,0.018336,0.014866,0,0.016596,0
403,0.024999,0,0.021386,0,0,0,0.02169
404,0.029247,0.021743,0,0.021781,0.030289,0,0.020462
