apply_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
231,0.015053,0.012481,0.021431,0.01535,0.012834,0.012338,0.015631
232,0.014311,0.009934,0.01062,0.010627,0.008508,0,0.005001
233,0.007678,0.009112,0.004687,0.006159,0.006621,0.005024,0.009049
234,0,0.019537,0.010355,0.009911,0.007276,0.004255,0.004069
235,0.011601,0.010871,0.023837,0.009002,0.00491,0.011567,0.015197
236,0.008159,0.004281,0.00478,0.005579,0.004117,0.008504,0.016557
237,0.014474,0.015081,0.00694,0.003655,0.00604,0.016432,0.011152
238,0.022082,0.017965,0.015636,0.004857,0.00681,0.007028,0.010053
239,0.023961,0.012302,0.015796,0.003939,0.004664,0.008411,0.010059
240,0.008879,0.01186,0.013146,0.006586,0.00828,0.016167,0.009895
241,0.010507,0.016773,0.009931,0.007345,0.015324,0.01015,0.01401
242,0.013571,0.010586,0.018921,0.008389,0.009631,0.018943,0.017271
243,0.022386,0,0.02007,0.008326,0.005289,0.007775,0.009831
244,0.019445,0.02128,0.018384,0.008323,0.01243,0.013457,0.0128
245,0,0.01267,0.00857,0.018204,0.01665,0.016383,0.01495
246,0.015858,0.020094,0.016874,0.004153,0.009066,0.004761,0.009341
247,0.013911,0.022592,0.027033,0.009655,0.018463,0.018822,0.015233
248,0.016081,0.022365,0.020606,0.010161,0.004346,0.01491,0.009463
249,0.008202,0.008386,0.005324,0.003677,0.007064,0.012817,0.020517
250,0.010305,0.017425,0.012434,0.010549,0.016662,0.016673,0.012491
251,0.022238,0.015688,0.017778,0.004063,0.004029,0.013162,0.012894
252,0.012495,0.025473,0.014874,0.00343,0.004126,0.010189,0.00851
253,0.016393,0.007587,0.010554,0.014374,0.01639,0.018419,0.014663
254,0.018692,0.017246,0.008201,0.014615,0.0034,0.013643,0.012851
255,0.010073,0.024294,0.012964,0.00482,0.004359,0.012275,0.010131
256,0.013747,0.023677,0.022285,0,0.003805,0.010901,0.009982
